timestamp,elapsed_ms,counts,temp_c,temp_f
1784429242,31394375,89,22.250000,72.050003
1784429252,31404387,89,22.250000,72.050003
1784429262,31414399,88,22.000000,71.599998
1784429272,31424411,87,21.750000,71.150002
1784429282,31434423,86,21.500000,70.699997
1784429292,31444434,88,22.000000,71.599998
1784429302,31454446,86,21.500000,70.699997
1784429312,31464458,0,0.000000,32.000000
1784429322,31474470,89,22.250000,72.050003
1784429332,31484482,87,21.750000,71.150002
1784429342,31494494,86,21.500000,70.699997
1784429352,31504506,91,22.750000,72.949997
1784429362,31514518,88,22.000000,71.599998
1784429372,31524530,92,23.000000,73.400002
1784429382,31534542,83,20.750000,69.349998
1784429392,31544553,77,19.250000,66.650002
1784429402,31554565,74,18.500000,65.300003
1784429412,31564577,72,18.000000,64.400002
1784429422,31574589,70,17.500000,63.500000
1784429432,31584601,67,16.750000,62.150002
1784429442,31594613,68,17.000000,62.599998
1784429453,31604625,67,16.750000,62.150002
1784429463,31614637,66,16.500000,61.700001
1784429473,31624649,66,16.500000,61.700001
1784429483,31634661,65,16.250000,61.250000
1784429493,31644672,65,16.250000,61.250000
1784429503,31654684,64,16.000000,60.799999
1784429513,31664696,64,16.000000,60.799999
1784429523,31674708,64,16.000000,60.799999
1784429533,31684720,63,15.750000,60.349998
1784429543,31694732,62,15.500000,59.900002
1784429553,31704744,62,15.500000,59.900002
1784429563,31714756,62,15.500000,59.900002
1784429573,31724768,61,15.250000,59.450001
1784429583,31734780,61,15.250000,59.450001
1784429593,31744792,61,15.250000,59.450001
1784429603,31754803,62,15.500000,59.900002
1784429613,31764815,60,15.000000,59.000000
1784429623,31774827,61,15.250000,59.450001
1784429633,31784839,60,15.000000,59.000000
1784429643,31794851,59,14.750000,58.549999
1784429653,31804863,60,15.000000,59.000000
1784429663,31814875,59,14.750000,58.549999
1784429673,31824887,59,14.750000,58.549999
1784429683,31834899,59,14.750000,58.549999
1784429693,31844911,59,14.750000,58.549999
1784429703,31854922,59,14.750000,58.549999
1784429713,31864934,59,14.750000,58.549999
1784429723,31874946,58,14.500000,58.099998
1784429733,31884958,58,14.500000,58.099998
1784429743,31894970,59,14.750000,58.549999
1784429753,31904982,59,14.750000,58.549999
1784429763,31914994,57,14.250000,57.650002
1784429773,31925006,58,14.500000,58.099998
1784429783,31935018,58,14.500000,58.099998
1784429793,31945030,57,14.250000,57.650002
1784429803,31955042,58,14.500000,58.099998
1784429813,31965053,57,14.250000,57.650002
1784429823,31975065,57,14.250000,57.650002
1784429833,31985077,57,14.250000,57.650002
1784429843,31995089,57,14.250000,57.650002
1784429853,32005101,62,15.500000,59.900002
1784429863,32015113,64,16.000000,60.799999
1784429873,32025125,66,16.500000,61.700001
1784429883,32035137,68,17.000000,62.599998
1784429893,32045149,70,17.500000,63.500000
1784429903,32055161,70,17.500000,63.500000
1784429913,32065172,71,17.750000,63.950001
1784429923,32075184,73,18.250000,64.849998
1784429933,32085196,73,18.250000,64.849998
timestamp,elapsed_ms,counts,temp_c,temp_f
1784429941,32093206,74,18.500000,65.300003
1784429951,32103218,74,18.500000,65.300003
1784429961,32113230,74,18.500000,65.300003
1784429971,32123242,74,18.500000,65.300003
1784429981,32133253,73,18.250000,64.849998
1784429991,32143265,73,18.250000,64.849998
1784430001,32153277,75,18.750000,65.750000
1784430011,32163289,75,18.750000,65.750000
1784430021,32173301,76,19.000000,66.199997
1784430031,32183313,75,18.750000,65.750000
1784430041,32193325,76,19.000000,66.199997
